Category,Sl.No.,Ministry/Department,Scheme,"Actuals 2021-2022 Revenue
",Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Revenue,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Revised Estimates2022-2023 Revenue,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Total,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Total
Demand No. 21,182,Capital Outlay on Defence Services,Other equipment-Army,0,16532,16532,NA,21721.68,21721.68,0,20885,20885,0,21300,21300
Demand No. 21,183,Capital Outlay on Defence Services,Rolling Stock,0,48.73,48.73,NA,100,100,0,120,120,0,163,163
Demand No. 21,184,Capital Outlay on Defence Services,Rashtriya Rifles,0,28.9,28.9,NA,100,100,0,95,95,0,100,100
Demand No. 21,185,Capital Outlay on Defence Services,National Cadet Corps,0,6.48,6.48,NA,13,13,0,6,6,0,13,13
Demand No. 21,186,Capital Outlay on Defence Services,Ex-Servicemen Contributory Health Scheme,0,1.2,1.2,NA,17,17,0,22,22,0,86,86
Demand No. 21,187,Capital Outlay on Defence Services,Military Farms,0,-0.46,-0.46,0,0,0,0,0,0,0,0,0
Demand No. 21,188,Capital Outlay on Defence Services,Land-Navy,0,36.62,36.62,NA,17,17,0,30,30,0,1550.9,1550.9
Demand No. 21,189,Capital Outlay on Defence Services,Construction Works-Navy,0,1413.06,1413.06,NA,1056.31,1056.31,0,1856.31,1856.31,0,1900.1,1900.1
Demand No. 21,190,Capital Outlay on Defence Services,Aircrafts and Aeroengines,0,7330.71,7330.71,NA,5925.94,5925.94,0,7500,7500,0,7000,7000
Demand No. 21,191,Capital Outlay on Defence Services,Heavy and Medium Vehicles,0,9.88,9.88,NA,30,30,0,50,50,0,90,90
Demand No. 21,192,Capital Outlay on Defence Services,Other equipment-Navy,0,6691.5,6691.5,NA,6000,6000,0,8200,8200,0,9500,9500
Demand No. 21,193,Capital Outlay on Defence Services,Naval Fleet,0,24927.92,24927.92,NA,29452,29452,0,24187,24187,0,24200,24200
Demand No. 21,194,Capital Outlay on Defence Services,Naval Dockyard/projects,0,4046.56,4046.56,NA,3842.06,3842.06,0,4500,4500,0,6725,6725
Demand No. 21,195,Capital Outlay on Defence Services,Joint Staff,0,572.38,572.38,NA,1267.68,1267.68,0,1403.72,1403.72,0,1838.75,1838.75
Demand No. 21,196,Capital Outlay on Defence Services,Land-Air Force,0,1.93,1.93,NA,547.18,547.18,0,284.17,284.17,0,340.27,340.27
Demand No. 21,197,Capital Outlay on Defence Services,Construction Works-Air Force,0,2181.41,2181.41,NA,2663.52,2663.52,0,1995.85,1995.85,0,2342.31,2342.31
Demand No. 21,198,Capital Outlay on Defence Services,Aircrafts and Aeroengines-Air Force,0,29930.29,29930.29,NA,18966.18,18966.18,0,23713.03,23713.03,0,15721.65,15721.65
Demand No. 21,199,Capital Outlay on Defence Services,Heavy and Medium Vehicles-Air Force,0,98.32,98.32,NA,210,210,0,162.81,162.81,0,947.94,947.94
Demand No. 21,200,Capital Outlay on Defence Services,Other equipment-Air Force,0,18946.56,18946.56,NA,32308.9,32308.9,0,26624.12,26624.12,0,36223.13,36223.13
Demand No. 21,201,Capital Outlay on Defence Services,Special Projects,0,668.05,668.05,NA,890.87,890.87,0,969.42,969.42,0,1561.79,1561.79
Demand No. 21,202,Capital Outlay on Defence Services,Defence Ordnance Factories,0,196.59,196.59,0,0,0,0,1.5,1.5,0,5,5
Demand No. 21,203,Capital Outlay on Defence Services,Emergency Authorisation for newly created DPSUs,0,2500,2500,NA,2500,2500,0,2500,2500,0,0,0
Demand No. 21,204,Capital Outlay on Defence Services,Research  and Development,0,10263.45,10263.45,NA,11981.81,11981.81,0,11981.81,11981.81,0,12850,12850
Demand No. 21,205,Capital Outlay on Defence Services,Inspection - Director General Quality Audit (DGQA),0,7.17,7.17,NA,20,20,0,10,10,0,20,20
Demand No. 21,206,Capital Outlay on Defence Services,Projects of the Army,0,0,0,NA,100,100,0,1,1,0,100,100
Demand No. 21,207,Capital Outlay on Defence Services,Projects of the Air Force,0,1390.63,1390.63,NA,1264.9,1264.9,0,121.77,121.77,0,1131.62,1131.62
Demand No. 21,208,Capital Outlay on Defence Services,Investment in Public Enterprises,0,1643,1643,NA,1310,1310,0,1310,1310,0,1310,1310
Demand No. 23,209,Ministry of Development of North Eastern Region,Schemes of North East Council,378.27,8.55,386.82,604.42,40,644.42,661.87,5,666.87,757.8,42.2,800
Demand No. 23,210,Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,133.1,0,133.1,57.45,0,57.45,0,0,0,0,0,0
Demand No. 23,211,Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,512.99,0,512.99,0,0,0,0,0,0,0,0,0
Demand No. 23,212,Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),652.45,137.81,790.26,1288.79,130,1418.79,1104.27,128.73,1233,44.9,2446.1,2491
Demand No. 23,213,Ministry of Development of North Eastern Region,North East States Road PMU (ADB Assisted),0.54,0,0.54,0.3,0,0.3,0.3,0,0.3,0,0,0
Demand No. 23,214,Ministry of Development of North Eastern Region,North East Road Sector Development Scheme,214.04,475.53,689.57,60,435.96,495.96,60,200,260,0,0,0
Demand No. 23,215,Ministry of Development of North Eastern Region,Bodoland Territorial Council,3.31,0,3.31,30,0,30,6.42,0,6.42,0,0,0
Demand No. 23,216,Ministry of Development of North Eastern Region,Karbi Anglong Autonomous Territorial Council,67.44,0,67.44,40,0,40,1.55,0,1.55,0,0,0
Demand No. 23,217,Ministry of Development of North Eastern Region,Dima Hasao Territorial Council,-1.51,0,-1.51,35,0,35,2,0,2,0,0,0
Demand No. 23,218,Ministry of Development of North Eastern Region,North East Enterprise Development Scheme (NEEDS) erstwhile Loan to North East Development Finance Corporation,0,40,40,NA,50,50,0,50,50,0,60,60
Demand No. 23,219,Ministry of Development of North Eastern Region,Social and Infrastructure Development Fund,-2.18,0,-2.18,0,0,0,0,0,0,0,0,0
Demand No. 23,220,Ministry of Development of North Eastern Region,Special Development Packages,0,0,0,0,0,0,95.03,0,95.03,300,0,300
Demand No. 23,221,Ministry of Development of North Eastern Region,Prime Minister's Development Initiative for North East Region (PM-DevINE),0,0,0,0,0,0,50,350,400,660,1540,2200
Demand No. 24,222,Ministry of Earth Sciences,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)",374.93,7.15,382.08,435,25,460,323.05,16.95,340,433.05,26.95,460
Demand No. 24,223,Ministry of Earth Sciences,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),173.33,73.67,247,260,200,460,248.3,151.7,400,290.72,389.28,680
Demand No. 24,224,Ministry of Earth Sciences,Polar Science and Cryosphere (PACER),107.99,0,107.99,140.24,0,140.24,157,0,157,146,0,146
Demand No. 24,225,Ministry of Earth Sciences,Seismological and Geoscience (SAGE),46.17,18.72,64.89,75,25,100,45,20,65,70,50,120
Demand No. 24,226,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",56.34,0,56.34,65,0,65,63.13,0,63.13,65,0,65
Demand No. 24,227,Ministry of Earth Sciences,Deep Ocean Mission (DOM),119.03,0,119.03,450,200,650,300,0,300,400,200,600
Demand No. 25,228,Department of School Education and Literacy,National Award to Teachers,0.8,0,0.8,5,0,5,3.8,0,3.8,0,0,0
Demand No. 25,229,Department of School Education and Literacy,Pradhan Mantri Innovative Learning Programme (DHRUV),0,0,0,3.26,0,3.26,0.01,0,0.01,0.01,0,0.01
Demand No. 25,230,Department of School Education and Literacy,National Means cum Merit Scholarship Scheme,251.98,0,251.98,350,0,350,300,0,300,364,0,364
Demand No. 26,231,Department of Higher Education,National Research Professors,0.38,0,0.38,0.27,0,0.27,0.27,0,0.27,0.27,0,0.27
Demand No. 26,232,Department of Higher Education,"Establishment of multi disciplinary research universities including Central University of Himalayan Studies (CUHS), creation of Centres of Excellence and National Centre for Excellence in humanities",0,0,0,0.01,0,0.01,0.01,0,0.01,0,0,0
Demand No. 26,233,Department of Higher Education,Higher Education Financing Agency (HEFA),0,0,0,NA,0.01,0.01,0,0.01,0.01,0,0,0
Demand No. 26,234,Department of Higher Education,World Class Institutions,1046.31,0,1046.31,1700,0,1700,1200,0,1200,1500,0,1500
Demand No. 26,235,Department of Higher Education,Prime Minister's Girls' Hostel,0,0,0,20,0,20,5,0,5,10,0,10
Demand No. 26,236,Department of Higher Education,Indian Knowledge Systems,10,0,10,10,0,10,20,0,20,20,0,20
Demand No. 26,237,Department of Higher Education,Glue Grant for Higher Education Institutes,0,0,0,10,0,10,0,0,0,10,0,10
Demand No. 26,238,Department of Higher Education,Interest Subsidy and contribution for Guarantee Funds,1385.21,0,1385.21,1400,0,1400,1070,0,1070,0,0,0
Demand No. 26,239,Department of Higher Education,Scholarship for College and University students,191.96,0,191.96,252.85,0,252.85,243,0,243,0,0,0
Demand No. 26,240,Department of Higher Education,Special Scholarship Scheme for Jammu and Kashmir,184,0,184,225,0,225,200,0,200,0,0,0
Demand No. 26,241,Department of Higher Education,PM Uchchatar Shiksha Protsahan (PM-USP) Yojna,0,0,0,0,0,0,0,0,0,1554,0,1554
Demand No. 26,242,Department of Higher Education,PM Research Fellowship,111.19,0,111.19,200,0,200,300,0,300,400,0,400
Demand No. 26,243,Department of Higher Education,National Mission in Education Through ICT,85.51,0,85.51,400,0,400,400,0,400,400,0,400
Demand No. 26,244,Department of Higher Education,Setting up of virtual classrooms and massive open online courses (MOOCs),80.33,0,80.33,0,0,0,0,0,0,0,0,0
Demand No. 26,245,Department of Higher Education,e-shodh Sindhu,150,0,150,0,0,0,0,0,0,0,0,0
Demand No. 26,246,Department of Higher Education,Higher Education Statistics and Public Information  System (HESPIS),2.06,0,2.06,10,0,10,10,0,10,10,0,10
Demand No. 26,247,Department of Higher Education,National Digital Library,4.88,0,4.88,0,0,0,0,0,0,0,0,0
Demand No. 26,248,Department of Higher Education,National Academic Depository,0,0,0,0.1,0,0.1,0,0,0,0,0,0
Demand No. 26,249,Department of Higher Education,PM e-Vidya,0,0,0,0.01,0,0.01,0,0,0,0,0,0
Demand No. 26,250,Department of Higher Education,Academic Bank of Credits (ABC),28.79,0,28.79,10.9,0,10.9,5,0,5,10,0,10
Demand No. 26,251,Department of Higher Education,National Inititative for Design Innovation,4.47,0,4.47,17.8,0,17.8,17.8,0,17.8,10,0,10
Demand No. 26,252,Department of Higher Education,Startup India Initiative in Higher Educational Institutions,29.32,0,29.32,60,0,60,40,0,40,11.21,0,11.21
Demand No. 26,253,Department of Higher Education,Unnat Bharat Abhiyan,6.55,0,6.55,12.6,0,12.6,12.6,0,12.6,9.4,0,9.4
Demand No. 26,254,Department of Higher Education,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology),3.54,0,3.54,10,0,10,10,0,10,5,0,5
Demand No. 26,255,Department of Higher Education,Impactful Policy Research in Social Science (IMPRESS),0,0,0,17.26,0,17.26,0.25,0,0.25,0,0,0
Demand No. 26,256,Department of Higher Education,Scheme for Promotion of Academic and Research Collaboration (SPARC),0,0,0,74,0,74,70.59,0,70.59,50,0,50
Demand No. 26,257,Department of Higher Education,Scheme for Transformational and Advanced Research in Sciences (STARS),10.56,0,10.56,25,0,25,25,0,25,25,0,25
Demand No. 26,258,Department of Higher Education,Multidisciplinary Education and Research Improvement in Technical Education-EAP (MERITE),2,0,2,2,0,2,9,0,9,100,0,100
Demand No. 26,259,Department of Higher Education,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching,23.38,0,23.38,95,0,95,25,0,25,45,0,45
Demand No. 26,260,Department of Higher Education,National Institutional Ranking Framework,3,0,3,4,0,4,4,0,4,4.5,0,4.5
Demand No. 26,261,Department of Higher Education,Global Initiative for Academic Network (GIAN),0,0,0,10,0,10,10,0,10,10,0,10
Demand No. 26,262,Department of Higher Education,Technical Education Quality Improvement Programme of Government of India (EAP),34.68,0,34.68,0,0,0,0,0,0,0,0,0
Demand No. 26,263,Department of Higher Education,Programme for Apprenticeship Training,96.75,0,96.75,500,0,500,400,0,400,0,0,0
Demand No. 26,264,Department of Higher Education,National Apprenticeship Training Scheme (NATS),0,0,0,0,0,0,0,0,0,440,0,440
Demand No. 26,265,Department of Higher Education,Study in India,15,0,15,25,0,25,25,0,25,25,0,25
Demand No. 26,266,Department of Higher Education,Planning Administration and Global Engagement,61.48,0,61.48,110.2,0,110.2,107.49,0,107.49,115.65,0,115.65
Demand No. 26,267,Department of Higher Education,ASEAN Fellowship,1.03,0,1.03,10,0,10,3,0,3,3,0,3
Demand No. 26,268,Department of Higher Education,Education Services-Internationalization of Higher Education,95.65,0,95.65,200,0,200,200,0,200,200,0,200
Demand No. 27,269,Ministry of Electronics and Information Technology,Electronic Governance,312.39,0,312.39,525,0,525,525,0,525,555.74,0,555.74
Demand No. 27,270,Ministry of Electronics and Information Technology,Manpower Development,272.26,0,272.26,350,0,350,250,0,250,0,0,0
Demand No. 27,271,Ministry of Electronics and Information Technology,National Knowledge Network,500,0,500,650,0,650,485.25,0,485.25,352,0,352
Demand No. 27,272,Ministry of Electronics and Information Technology,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",1193.02,0,1193.02,2402.99,0.01,2403,1199,0,1199,700,0,700
Demand No. 27,273,Ministry of Electronics and Information Technology,PLI for Large Scale Electronics and IT Hardware,0,0,0,5300,0,5300,2203,0,2203,0,0,0
Demand No. 27,274,Ministry of Electronics and Information Technology,Promotion of IT/ITeS Industries,69.8,0,69.8,100,0,100,89.25,0,89.25,150,0,150
Demand No. 27,275,Ministry of Electronics and Information Technology,Cyber Security Projects,310.51,0,310.51,300,0,300,100,0,100,400,0,400
Demand No. 27,276,Ministry of Electronics and Information Technology,R and D in IT/Electronics/CCBT,502.04,0,502.04,598.17,0,598.17,365,0,365,600,0,600
Demand No. 27,277,Ministry of Electronics and Information Technology,Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),300,0,300,250,0,250,250,0,250,0,0,0
Demand No. 27,278,Ministry of Electronics and Information Technology,Promotion of Digital payment,1044.34,0,1044.34,200,0,200,2137,0,2137,1500,0,1500
Demand No. 27,279,Ministry of Electronics and Information Technology,Champion Service Sector Scheme,0,0,0,0.01,0,0.01,0,0,0,0,0,0
Demand No. 27,280,Ministry of Electronics and Information Technology,Capacity Building and Skill Development Scheme,0,0,0,0,0,0,0,0,0,537.5,0,537.5
Demand No. 27,281,Ministry of Electronics and Information Technology,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,0,0,0,0,0,0,200,0,200,3000,0,3000
Demand No. 27,282,Ministry of Electronics and Information Technology,Production Linked Incentive Scheme (PLI),0,0,0,0,0,0,0,0,0,4645.04,0,4645.04
Demand No. 28,283,"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,4.96,0,4.96,8.62,0,8.62,6.57,0,6.57,0,0,0
Demand No. 28,284,"Ministry of Environment, Forests and Climate Change",Eco-Task Force,110,0,110,70,0,70,80,0,80,0,0,0
Demand No. 28,285,"Ministry of Environment, Forests and Climate Change",Environmental Knowledge and Capacity Building,0,0,0,0,0,0,0,0,0,92.86,0,92.86
Demand No. 28,286,"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),27.79,0,27.79,195,0,195,4,0,4,12.5,0,12.5
Demand No. 28,287,"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),4.9,0,4.9,4.5,0,4.5,4,0,4,0,0,0
Demand No. 28,288,"Ministry of Environment, Forests and Climate Change",Climate Change Action Plan,24.91,0,24.91,30,0,30,25,0,25,0,0,0
Demand No. 28,289,"Ministry of Environment, Forests and Climate Change",National Adaptation Fund,59.78,0,59.78,60,0,60,34,0,34,0,0,0
Demand No. 28,290,"Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,35.5,0,35.5,48,0,48,30,0,30,0,0,0
Demand No. 28,291,"Ministry of Environment, Forests and Climate Change","Environmental Education, Awareness and Training",54.54,0,54.54,58.7,0,58.7,12.2,0,12.2,0,0,0
Demand No. 28,292,"Ministry of Environment, Forests and Climate Change",Environment Information Systems (ENVIS),27.16,0,27.16,23.5,0,23.5,22,0,22,0,0,0
Demand No. 28,293,"Ministry of Environment, Forests and Climate Change",R and D for Conservation and Development,6.21,0,6.21,4.75,0,4.75,2.5,0,2.5,0,0,0
Demand No. 28,294,"Ministry of Environment, Forests and Climate Change","Environment Education, Awareness, Research and Skill Development",0,0,0,0,0,0,0,0,0,87.4,0,87.4
Demand No. 28,295,"Ministry of Environment, Forests and Climate Change",Control of Pollution,406.7,0,406.7,460,0,460,600,0,600,756,0,756
Demand No. 29,296,Ministry of External Affairs,Bhutan,1203.14,443.42,1646.56,1560.01,706.23,2266.24,1779.28,720.87,2500.15,1632.24,768.34,2400.58
Demand No. 29,297,Ministry of External Affairs,Afghanistan,166.37,0,166.37,200,0,200,350,0,350,200,0,200
Demand No. 29,298,Ministry of External Affairs,Bangladesh,219.53,0,219.53,300,0,300,170,0,170,200,0,200
Demand No. 29,299,Ministry of External Affairs,Nepal,446.43,0,446.43,750,0,750,425,0,425,550,0,550
Demand No. 29,300,Ministry of External Affairs,Sri Lanka,48.56,0,48.56,200,0,200,75,0,75,150,0,150
Demand No. 29,301,Ministry of External Affairs,Maldives,246.1,0,246.1,360,0,360,400,0,400,400,0,400
Demand No. 29,302,Ministry of External Affairs,Myanmar,598.25,0,598.25,600,0,600,500,0,500,400,0,400
Demand No. 29,303,Ministry of External Affairs,Mongolia,0,0,0,12,0,12,2.5,0,2.5,7,0,7
Demand No. 29,304,Ministry of External Affairs,African Countries,141.92,0,141.92,250,0,250,160,0,160,250,0,250
Demand No. 29,305,Ministry of External Affairs,Eurasian Countries,83.96,0,83.96,140,0,140,65,0,65,75,0,75
Demand No. 29,306,Ministry of External Affairs,Latin American Countries,37.69,0,37.69,40,0,40,7,0,7,50,0,50
Demand No. 29,307,Ministry of External Affairs,Other Developing Countries,83.7,0,83.7,150,0,150,135,0,135,150,0,150
Demand No. 29,308,Ministry of External Affairs,Disaster Relief,0.76,0,0.76,10,0,10,5,0,5,5,0,5
Demand No. 29,309,Ministry of External Affairs,Chabahar Port,100,0,100,100,0,100,100,0,100,100,0,100
Demand No. 29,310,Ministry of External Affairs,Mauritius,839.16,0,839.16,900,0,900,575,0,575,460.79,0,460.79
Demand No. 29,311,Ministry of External Affairs,Seychelles,18.46,0,18.46,14.06,0,14.06,6.45,0,6.45,10,0,10
Demand No. 29,312,Ministry of External Affairs,Support to International Training/Programmes,262.45,0,262.45,447.7,0,447.7,519.6,0,519.6,435.21,0,435.21
Demand No. 29,313,Ministry of External Affairs,Aid for Cultural & Heritage Project,0,0,0,10,0,10,10,0,10,5,0,5
Demand No. 30,314,Department of Economic Affairs,National Investment and Infrastructure Fund (NIIF),1.36,1236.93,1238.29,3,5000.01,5003.01,1.3,1998.7,2000,2,1998,2000
Demand No. 30,315,Department of Economic Affairs,Viability Gap Funding,29.77,0,29.77,400,100,500,1071.8,20,1091.8,500,0,500
Demand No. 30,316,Department of Economic Affairs,Indian Companies,170.95,0,170.95,0,0,0,0,0,0,0,0,0
Demand No. 30,317,Department of Economic Affairs,Exim Bank,914.75,0,914.75,0,0,0,0,0,0,0,0,0
Demand No. 30,318,Department of Economic Affairs,Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS),0,0,0,1300,0,1300,1320,0,1320,1300,0,1300
Demand No. 30,319,Department of Economic Affairs,India Infrastructure Project Development Fund (IIPDF),0,0,0,0,0,0,15,0,15,25,0,25
Demand No. 32,320,Department of Financial Services,Recapitalization of Public Sector Banks,0,0,0,NA,0.01,0.01,0,0,0,0,0.01,0.01
Demand No. 32,321,Department of Financial Services,Recapitalization of Public Sector Banks (through Bonds),0,4600,4600,0,0,0,0,0,0,0,0,0
Demand No. 32,322,Department of Financial Services,Subscription to the Share Capital of Export-Import Bank of India,0,750,750,NA,1500,1500,0,1500,1500,0,0.01,0.01
Demand No. 32,323,Department of Financial Services,Recapitalization of Insurance Companies,0,5000,5000,NA,0.01,0.01,0,0,0,0,0.01,0.01
Demand No. 32,324,Department of Financial Services,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD),0,6084,6084,NA,500,500,0,0,0,0,0.01,0.01
Demand No. 32,325,Department of Financial Services,Recapitalization of Regional Rural Banks (RRBs),0,0,0,NA,1361,1361,0,1361,1361,0,0,0
Demand No. 32,326,Department of Financial Services,Equity Support to Industrial Finance Corporation of India (IFCI),0,100,100,NA,100,100,0,500,500,0,0.01,0.01
Demand No. 32,327,Department of Financial Services,Grants to ICICI Bank for Externally Aided Components,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,328,Department of Financial Services,Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,329,Department of Financial Services,Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI,0.84,0,0.84,0.84,0,0.84,0.84,0,0.84,0.83,0,0.83
Demand No. 32,330,Department of Financial Services,Subsidy to National Housing Bank for Interest Subvention on Housing Loans,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,331,Department of Financial Services,Redemption of Securities issued to Stressed Assets Stablization Fund (SASF),0,0,0,0,0,0,255,0,255,0.01,0,0.01
Demand No. 32,332,Department of Financial Services,Grant to National Bank for Financing Infrastructure and Development,5000,0,5000,0,0,0,0,0,0,0,0,0
Demand No. 32,333,Department of Financial Services,Government Co-contribution to Atal Pension Yojana,203,0,203,200.01,0,200.01,725,0,725,521,0,521
Demand No. 32,334,Department of Financial Services,Interest Subsidy to LIC for Pension Plan for Senior Citizens,49.16,0,49.16,94.56,0,94.56,111.54,0,111.54,111.47,0,111.47
Demand No. 32,335,Department of Financial Services,Pradhan Mantri Jeevan Jyoti Bima Yojna and Pradhan Mantri Suraksha Bima Yojna (Publicity and Awareness),1.06,0,1.06,0.01,0,0.01,0.01,0,0.01,1.5,0,1.5
Demand No. 32,336,Department of Financial Services,Loan Guarantee Scheme for Covid Affected Sectors (LGSCAS),0,50,50,NA,250,250,0,125,125,0,100,100
Demand No. 32,337,Department of Financial Services,Pradhan Mantri Vaya Vandan Yojana (PMVVY),0,0,0,473.92,0,473.92,27.58,0,27.58,189.7,0,189.7
Demand No. 32,338,Department of Financial Services,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC),0,0,0,100,0,100,0,0,0,0.01,0,0.01
Demand No. 32,339,Department of Financial Services,Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,340,Department of Financial Services,Credit Guarantee Scheme for Micro Finance Institutions (CGSMFI),0,50,50,NA,500,500,0,50,50,0,100,100
Demand No. 32,341,Department of Financial Services,Stand-Up India (through NCGTC),100,0,100,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,342,Department of Financial Services,Publicity and awareness for Stand-Up India and other initiatives by SIDBI,5,0,5,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,343,Department of Financial Services,Subsidy to small Industries Development Bank of India (SIDBI) on Interest Subvention of 2 percent for prompt repayment of Shishu Loans (subsidies),0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01
Demand No. 32,344,Department of Financial Services,Capital Support to National Bank for Financing lnfrastructure and Development( NaBFID),0,20000,20000,NA,0.01,0.01,0,0,0,0,0,0
Demand No. 32,345,Department of Financial Services,Compounded interest support scheme for loan moratorium,1832.72,0,1832.72,0,0,0,0,0,0,0,0,0
Demand No. 32,346,Department of Financial Services,Swavalamban Scheme-Govt. Co-contribution,0,0,0,0,0,0,1.31,0,1.31,0,0,0
Demand No. 33,347,Department of Public Enterprises,"Counselling, Retraining and Redeployment (CRR) Scheme",2.26,0,2.26,3.4,0,3.4,2.87,0,2.87,3.4,0,3.4
Demand No. 33,348,Department of Public Enterprises,"Research, Development and Consultancy on generic issues related to CPSEs and State Level Public Enterprises",4.53,0,4.53,5.15,0,5.15,5.15,0,5.15,6.51,0,6.51
Demand No. 37,349,Indirect Taxes,Onetime payment of Arrears.,0,0,0,0,0,0,5769.72,0,5769.72,4080.59,0,4080.59
Demand No. 37,350,Indirect Taxes,Remission of Duties and Taxes on Exported Products (RoDTEP),0,0,0,0,0,0,13699.4,0,13699.4,15069.34,0,15069.34
Demand No. 37,351,Indirect Taxes,Rebate on State and Central Taxes and Levies (RoSCTL),0,0,0,0,0,0,7640.6,0,7640.6,8404.66,0,8404.66
Demand No. 44,352,Department of Animal Husbandry and Dairying,Livestock Health and Disease Control Programme,910.74,0,910.74,2000,0,2000,1390.02,0,1390.02,2349.71,0,2349.71
Demand No. 44,353,Department of Animal Husbandry and Dairying,Infrastructure Development Fund,253.14,0,253.14,315,0,315,315,0,315,340,0,340
Demand No. 45,354,Ministry of Food Processing Industries,Pradhan Mantri Kisan Sampada Yojana,713.49,0,713.49,900,0,900,673,0,673,923.24,0,923.24
Demand No. 45,355,Ministry of Food Processing Industries,Production-Linked Incentive Scheme for Food Processing Industry,9.27,0,9.27,1022,0,1022,801,0,801,1529.8,0.2,1530
Demand No. 46,356,Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,6687.2,2582.31,9269.51,5673.13,4326.87,10000,5483.13,2786.43,8269.56,65,3300,3365
Demand No. 46,357,Department of Health and Family Welfare,National AIDS and STD Control Programme,2125.79,0.54,2126.33,3004.52,22.5,3027.02,2179.91,2.1,2182.01,3066.86,13.11,3079.97
Demand No. 46,358,Department of Health and Family Welfare,Global Fund Grant under Covid 19 Response Mechanism 2021(EAP),0,0,0,0,0,0,0,0,0,25,470,495
Demand No. 46,359,Department of Health and Family Welfare,Family Welfare Schemes,300.16,0,300.16,484.35,0,484.35,473.97,0,473.97,516.6,0,516.6
Demand No. 46,360,Department of Health and Family Welfare,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral coordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,28.44,8.35,36.79,45.9,25.65,71.55,31.31,21.15,52.46,55.54,0,55.54
Demand No. 46,361,Department of Health and Family Welfare,National Pharmacovigilance Programme,9.44,0,9.44,10,0,10,10,0,10,8.53,0,8.53
Demand No. 46,362,Department of Health and Family Welfare,Development of Nursing Services,12.64,0,12.64,20.43,0,20.43,24.93,0,24.93,33.41,0,33.41
Demand No. 46,363,Department of Health and Family Welfare,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,32.13,0,32.13,77.18,52.82,130,55,20,75,75.32,52.82,128.14
Demand No. 46,364,Department of Health and Family Welfare,National Organ Transplant Programme,5.88,0,5.88,13.43,1.57,15,9.98,0.26,10.24,14.33,1.35,15.68
Demand No. 46,365,Department of Health and Family Welfare,India COVID -19 Emergency Response and Health System Preparedness Package (Phase-II) (DBS),1471,6.58,1477.58,0,0,0,0,0,0,0,0,0
Demand No. 46,366,Department of Health and Family Welfare,Pradhan Mantri Garib Kalyan Package - Insurance Scheme for Health Care Workers fighting COVID-19,975.83,0,975.83,226,0,226,226,0,226,0.01,0,0.01
Demand No. 46,367,Department of Health and Family Welfare,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM) (Health),177.07,0,177.07,560.69,418.18,978.87,248.29,33.39,281.68,531.36,114.5,645.86
Demand No. 46,368,Department of Health and Family Welfare,National Tele Mental Health Programme,0,0,0,0,0,0,121,0,121,133.73,0,133.73
